reason_stopped_attending_school,primary_incomplete,primary_complete,secondary_incomplete,secondary_complete,higher,total
Currently_attending,3.6,0.6,52.2,16.6,67.5,23.7
Got_pregnant,0.0,0.0,0.0,0.1,0.0,0.0
Got_married,0.0,2.3,4.1,9.8,3.9,4.3
Take_care_of_children,0.0,0.1,0.9,0.0,0.0,0.3
Family_needed_help,3.2,1.2,0.6,0.3,0.0,
Could_not_pay_school_fees,4.3,7.4,1.4,1.8,0.0,3.9
Needed_to_earn_money,1.9,2.1,0.4,2.4,1.0,1.6
Graduated,0.0,0.6,0.1,6.5,21.3,3.9
Did_not_pass_exams2.4,0.0,0.3,"35,8","0,0",7.2,NA
Did_not_like_school,16.3,23.9,17.6,5.4,0.3,16.0
School_not_accessible,1.3,3.7,0.4,0.2,0.0,1.7
Parents_did_not_send_to_school,30.5,36.2,9.1,4.9,1.4,19.5
Other,36.5,19.1,11.8,15.4,3.7,15.4
Missing,0.0,2.8,1.0,0.7,1.0,1.7
Total,100.0,100.0,100.0,100.0,100.0,100.0
Number,55,829,482,386,210,1.963
RURAL,NA,NA,NA,NA,NA,NA
Currently_attending,1.7,0.5,45.6,16.7,(57.1),9.7
Got_pregnant,0.0,0.0,0.0,0.0,0.0,0.0
Got_married,1.6,2.0,4.7,11.7,(3.0),3.2
Take_care_of_chilidren1.5,0.1,0.0,0.0,0.0,0.2,NA
Family_needed_help,7.3,2.0,0.0,1.5,0.0,2.0
Could_not_pay_school_fees,1.5,3.6,1.6,0.0,"0,0",2.8
Needed_to_earn_money,1.0,0.6,0.4,2.7,0.0,0.8
Graduated,0.0,0.7,0.0,3.3,(31.0),1.6
Did_not_pass_exams0.0,0.2,0.0,36.1,0.0,3.2,NA
Did_not_like_school,6.2,14.4,13.4,7.3,0.0,"12,8"
School_not_accessible,4.3,7.5,6.4,0.0,0.0,6.3
Parents_did_not_send_to_school,40.4,44.6,16.5,3.5,0.0,35.8
Other,31.I,22.0,8.8,17.1,(8.9),19.9
Missing,3.4,1.7,2.6,0.0,0.0,1.7
Total,100.0,100.0,I00.0,100.0,100.0,100.0
Number,66,734,148,91,29,1.068
TOTAL,NA,NA,NA,NA,NA,NA
Currently_attending,2.6,0.6,50.6,16.7,66.2,18.8
Got_pregnant,0.0,0.0,0.0,0.1,0.0,0.0
Got_married,0.9,2.1,4.3,10.,I,3.8
Take_care_of_children,0.8,0.,I,0.7,0.0,0.0
Family_needed_help,5.4,1.6,0.5,0.6,0.0,1.2
Could_not_pay_school_fees,2.7,5.6,1.4,1.4,0.0,3.5
Needed_to_earn_money,1.4,1.4,0.4,2.4,0.9,1.3
Graduated,0.0,0.7,0.,I,5.9,22.5
Did_not_pass_exams1.1,0.1,0.2,35.9,0.0,5.8,NA
Did_not_like_school,10.8,19.4,16.6,5.8,0.3,14.8
School_not_accessible,3.0,5.5,1.8,0.1,0.0,3.4
Parents_did_not_send_to_school,35.9,40.1,10.8,4.7,1.2,25.2
Other,33.5,20.4,11.1,15.7,4.3,17.0
Missing,1.9,2.3,1.4,0.6,0.9,1.7
Total,100.0,100.0,100.0,"100,0",100.0,I00.0
Number,121,1.563,630,478,239,"3,031"
